# HomeWork05 - Legendre polynomial stability
# Columns:
# x l P_reference P_forward P_backward abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.10000000000000001 42 5.391676145085217460305e-02 5.391676145085218946340e-02 -3.627379426243393378826e-01 1.486034602662944514861e-17 2.756164433239447065496e-16 4.166547040751915124924e-01 7.727739813434327274377e+00
0.10000000000000001 43 1.137209984820212417875e-01 1.137209984820212321788e-01 3.064905826212453443524e-01 9.608741753652783046391e-18 8.449399743154629614229e-17 1.927695841392241025649e-01 1.695109845256063880016e+00
0.10000000000000001 44 -3.020563762711496930427e-02 -3.020563762711498886904e-02 4.150954454920778857741e-01 1.956476701567982923180e-17 6.477190535490284428738e-16 4.453010831191928550732e-01 1.474231693488421459162e+01
0.10000000000000001 45 -1.171678690686723973426e-01 -1.171678690686723811609e-01 -2.175830260101178637022e-01 1.618171742434615367756e-17 1.381071240176093531324e-16 1.004151569414454663596e-01 8.570195714884246790898e-01
0.10000000000000001 46 6.370132275983798777856e-03 6.370132275983819702958e-03 -4.491152300833821109372e-01 2.092510192897023557634e-17 3.284877145779296624552e-15 4.554853623593659097150e-01 7.150328166286328310242e+01
0.10000000000000001 47 1.159354086665016938165e-01 1.159354086665016769775e-01 1.240861182274460988717e-01 1.683901499141549074068e-17 1.452447978154317357317e-16 8.150709560944405055198e-03 7.030388433261689186068e-02
0.10000000000000001 48 1.670812844501099187074e-02 1.670812844501096822158e-02 4.643173736891603731181e-01 2.364915988734006546679e-17 1.415428422469522573753e-15 4.476092452441493812609e-01 2.678990927782844861001e+01
0.10000000000000001 49 -1.102618524505198912894e-01 -1.102618524505198788210e-01 -2.963786020678687085916e-02 1.246832498358330099109e-17 1.130792264639166425116e-16 8.062399224373302043020e-02 7.312047680308392410046e-01
0.10000000000000001 50 -3.820581266131371172046e-02 -3.820581266131368308736e-02 -4.608993225363209877976e-01 2.863310174898436866187e-17 7.494435991405454329484e-16 4.226935098750072760873e-01 1.106359164826813308406e+01

0.5 0 1.000000000000000000000e+00 1.000000000000000000000e+00 1.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00
0.5 1 5.000000000000000000000e-01 5.000000000000000000000e-01 -7.378883785870423928088e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 7.878883785870423928088e+00 1.575776757174084785618e+01
0.5 2 -1.250000000000000000000e-01 -1.250000000000000000000e-01 -6.034162839402817724022e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 5.909162839402817724022e+00 4.727330271522254179217e+01
